"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 123 to Transport in New Delhi.
                    ","Paid INR 123
                        ","Transport","New Domestic Driving License","191 views","New Delhi
                      , Delhi","October 29, 2015"
"
                      I Paid Rs. 5000 to Municipal Services in Abhayapuri.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","150 views","Abhayapuri
                      , Assam","October 29, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","136 views","Pimpri-Chinchwad
                      , Maharashtra","October 29, 2015"
"
                      I Paid Rs. 500 to Others in Ambattur.
                    ","Paid INR 500
                        ","Others","Others","153 views","Ambattur
                      , Tamil Nadu","October 29, 2015"
"
                      I Paid Rs. 2000 to Others in Cooch Behar.
                    ","Paid INR 2,000
                        ","Others","Others","153 views","Cooch Behar
                      , West Bengal","October 29, 2015"
"
                      I Paid Rs. 50 to Police in Surat.
                    ","Paid INR 50
                        ","Police","Traffic Violations","155 views","Surat
                      , Gujarat","October 29, 2015"
"
                      I paid a bribe of Rs 5000 for Marriage  Registration
                    ","Paid INR 5,000
                        ","Stamps and Registration","Marriage Registration","276 views","Chennai
                      , Tamil Nadu","October 29, 2015"
"
                      I Paid Rs. 123456 to Others in Katihar.
                    ","Paid INR 1,23,456
                        ","Others","Others","153 views","Katihar
                      , Bihar","October 29, 2015"
"
                      I Paid Rs. 8 to Income Tax in Adilabad.
                    ","Paid INR 8
                        ","Income Tax","New PAN Card","176 views","Adilabad
                      , Telangana","October 29, 2015"
"
                      Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior
                    ","Paid INR 5,000
                        ","Labour","Inspection of Office or Factories","190 views","Gwalior
                      , Madhya Pradesh","October 28, 2015"
"
                      I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","196 views","Thiruvananthapuram
                      , Kerala","October 28, 2015"
"
                      I paid 3000/- for getting DOB certificate
                    ","Paid INR 3,000
                        ","Municipal Services","Non Availability Certificate","204 views","Visakhapatnam
                      , Andhra Pradesh","October 28, 2015"
"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","195 views","Cuddapah
                      , Andhra Pradesh","October 28, 2015"
"
                      I Paid Rs. 10000 to Others in Guwahati.
                    ","Paid INR 10,000
                        ","Others","Others","189 views","Guwahati
                      , Assam","October 28, 2015"
"
                      I Paid Rs. 1200 to Others in Sambalpur.
                    ","Paid INR 1,200
                        ","Others","Others","178 views","Sambalpur
                      , Orissa","October 28, 2015"
"
                      I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.
                    ","Paid INR 1,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","206 views","Kochi
                      , Kerala","October 28, 2015"
"
                      I Paid Rs. 5000 to Municipal Services in Amarpur.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","197 views","Amarpur
                      , Bihar","October 28, 2015"
"
                      I Paid Rs. 34 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    ","Paid INR 34
                        ","Commercial Tax, Sales Tax, VAT","C Form","224 views","Achhnera
                      , Uttar Pradesh","October 27, 2015"
"
                      I Paid Rs. 1000 to Police in Pune.
                    ","Paid INR 1,000
                        ","Police","Police Harassment","231 views","Pune
                      , Maharashtra","October 27, 2015"
"
                      I Paid Rs. 5000 to Municipal Services in Achhnera.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","215 views","Achhnera
                      , Uttar Pradesh","October 27, 2015"
"
                      I Paid Rs. 1111 to Others in Goalpara.
                    ","Paid INR 1,111
                        ","Others","Others","207 views","Goalpara
                      , Assam","October 27, 2015"
"
                      I Paid Rs. 23 to Municipal Services in Siliguri.
                    ","Paid INR 23
                        ","Municipal Services","Birth Certificate","188 views","Siliguri
                      , West Bengal","October 27, 2015"
